MÊS,LOC,CLASSES,MÉTODOS,CLASSES DEUS,MÉTODOS DEUS
1,2212,9,144,1,2,
2,2212,9,144,1,2,
3,2212,9,144,1,2,
4,2471,9,157,1,4,
5,2440,9,153,1,4,
6,2440,9,153,1,4,
7,2595,9,165,2,4,
8,2432,9,154,1,4,
9,2441,9,155,1,4,
10,2441,9,155,1,4,
11,2132,7,131,0,3,
12,2132,7,131,0,3,
13,2129,7,131,0,3,
14,2129,7,131,0,3,
15,2165,7,135,0,1,
16,2165,7,135,0,1,
17,2228,7,135,0,1,
18,2228,7,135,0,1,
19,1985,7,120,0,1,
20,1985,7,120,0,1,
21,1985,7,120,0,1,
22,1985,7,120,0,1,
23,1985,7,120,0,1,
24,1897,6,119,0,1,
25,1903,6,120,0,1,
26,1903,6,120,0,1,
27,1903,6,120,0,1,,
